[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.6032     141.44461      0.23985158],[ 74.2088     179.79918      0.21727097],[ 42.338985  219.14726     0.4002956],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.263565   225.61894      0.40122384],[ 56.27769    226.61642      0.35829064],[ 37.843468   221.63826      0.42267752]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.60323    141.4455       0.23999748],[ 74.20824    179.79984      0.22410455],[ 42.33936    219.14688      0.40270403],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.26408    225.61891      0.40409398],[ 56.277798  226.61636     0.3611463],[ 37.843773   221.638        0.42506585]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.60325    141.44548      0.23992795],[ 74.20826    179.79985      0.22410789],[ 42.339363  219.14691     0.4027108],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.264095  225.61899     0.4040981],[ 56.277805  226.61636     0.3611513],[ 37.843773   221.638        0.42507502]
[1.3945421e+02 2.0220583e+02 1.9606508e-01],[1.4044585e+02 1.8029716e+02 1.6794842e-01],[1.4692310e+02 1.8029320e+02 1.7484781e-01],[161.8606    209.16965     0.3748462],[184.7791    226.11133     0.4029276],[1.3895673e+02 1.8178951e+02 9.3962155e-02],[1.6287318e+02 2.0071523e+02 1.8315068e-01],[185.27397    216.65921      0.27434188],[ 99.61821    142.43945      0.24475977],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.4543137e+02 1.9922218e+02 1.3404921e-01],[1.4095036e+02 2.0420290e+02 8.7237388e-02],[1.45928253e+02 1.94240189e+02 1.23087674e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[1.3945421e+02 2.0220583e+02 1.9606520e-01],[1.4044588e+02 1.8029718e+02 1.6794813e-01],[1.4692310e+02 1.8029318e+02 1.7484792e-01],[161.86055    209.1697       0.37478623],[184.77917    226.11133      0.40277377],[1.3895670e+02 1.8178951e+02 9.3962416e-02],[1.6287320e+02 2.0071516e+02 1.8311161e-01],[185.2739     216.659        0.27408898],[ 99.61822   142.43948     0.2447589],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.4543140e+02 1.9922221e+02 1.3404828e-01],[1.4095038e+02 2.0420285e+02 8.7237172e-02],[1.45928223e+02 1.94240204e+02 1.23082355e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[1.3945586e+02 2.0220656e+02 2.0116803e-01],[1.4044809e+02 1.8079042e+02 1.7632078e-01],[146.92697    180.2943       0.18982232],[161.86069    209.16805      0.39375737],[184.77827    226.11133      0.41718265],[1.3895505e+02 1.8228705e+02 9.6857481e-02],[1.6335641e+02 2.0071962e+02 1.8800703e-01],[185.2725   216.65912    0.279588],[ 99.618355   142.4392       0.24644357],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.4543330e+02 1.9971542e+02 1.4354928e-01],[0. 0. 0.],[1.4593008e+02 1.9424324e+02 1.3433300e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[1.3945584e+02 2.0220650e+02 2.0113319e-01],[1.4044801e+02 1.8079028e+02 1.7635402e-01],[146.927      180.29424      0.18990223],[161.86072    209.16806      0.39373347],[184.77824    226.11131      0.41713867],[1.3895500e+02 1.8228703e+02 9.6874051e-02],[1.6335651e+02 2.0071956e+02 1.8823779e-01],[185.27258   216.65894     0.2797295],[ 99.61836    142.43922      0.24645993],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.4543327e+02 1.9971545e+02 1.4348565e-01],[0. 0. 0.],[1.4593008e+02 1.9424329e+02 1.3433404e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[139.4565     202.20651      0.20324779],[1.4044926e+02 1.8079091e+02 1.8018737e-01],[146.93054  180.29451    0.200391],[161.86078    209.1676       0.41418085],[184.77725   226.11115     0.4315045],[1.3845775e+02 1.8278506e+02 9.6609913e-02],[1.6335863e+02 2.0071989e+02 1.9540824e-01],[185.27135    216.65948      0.28759727],[ 99.61743   141.95314     0.2467228],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.111176   140.44902      0.20009795],[ 72.21648   180.79695     0.3710652],[ 47.315155   214.16766      0.39478377],[1.4543298e+02 1.9971719e+02 1.4690471e-01],[0. 0. 0.],[1.4593037e+02 1.9424318e+02 1.3580914e-01],[0. 0. 0.],[ 66.24139    220.64081      0.36924064],[ 64.74951    219.13841      0.30625743],[3.9847755e+01 2.2013525e+02 1.7156826e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[139.45653    202.20653      0.20324782],[1.4044923e+02 1.8079089e+02 1.8018842e-01],[146.93059    180.29448      0.20039183],[161.86076    209.16765      0.41417465],[184.77725   226.11119     0.4314541],[1.3845778e+02 1.8278510e+02 9.6609227e-02],[1.6335863e+02 2.0071985e+02 1.9541730e-01],[185.27124    216.65938      0.28757295],[ 99.617455   141.95316      0.24672364],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.1112     140.44899      0.20009798],[ 72.216484   180.79695      0.37106517],[ 47.315147   214.16765      0.39478374],[1.4543300e+02 1.9971730e+02 1.4690545e-01],[0. 0. 0.],[1.4593037e+02 1.9424321e+02 1.3581450e-01],[0. 0. 0.],[ 66.241394   220.64081      0.36924067],[ 64.74951    219.13841      0.30625743],[3.9847752e+01 2.2013524e+02 1.7156826e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[139.45671    202.20679      0.20378204],[140.44939    180.79085      0.18088073],[146.93095   180.29437     0.2017574],[161.86037    208.68906      0.41582322],[184.77711    226.11093      0.43330035],[1.3796135e+02 1.8278574e+02 9.6284680e-02],[1.6335910e+02 2.0071957e+02 1.9685164e-01],[185.27109    216.6594       0.28906548],[ 99.6184    142.43909     0.2466764],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.11114   140.44902     0.2001302],[ 72.2165     180.79695      0.37114865],[ 47.31515    214.16762      0.39479676],[1.4543340e+02 1.9971730e+02 1.4765258e-01],[0. 0. 0.],[1.4593137e+02 1.9424283e+02 1.3730204e-01],[0. 0. 0.],[ 66.2414     220.64084      0.36924827],[ 64.74953   219.13838     0.3062744],[3.9847759e+01 2.2013525e+02 1.7156897e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
